日期,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额,成交金额1
2017/12/12,3280.8136,3320.3103,3280.3291,3320.3103,3322.1956,-41.382,-1.2456,124604827,1.61E+11,
2017/12/11,3322.1956,3322.6736,3288.2949,3290.4881,3289.9924,32.2032,0.9788,131965984,1.73E+11,
2017/12/8,3289.9924,3297.1304,3258.7593,3264.4776,3272.0542,17.9382,0.5482,133209314,1.66E+11,
2017/12/7,3272.0542,3291.2817,3259.1637,3283.2791,3293.9648,-21.9106,-0.6652,132105900,1.62E+11,
2017/12/6,3293.9648,3296.2013,3254.6108,3291.3128,3303.6751,-9.7103,-0.2939,151604452,1.79E+11,
2017/12/5,3303.6751,3315.7373,3300.5117,3301.6906,3309.6183,-5.9432,-0.1796,208278862,2.43E+11,
2017/12/4,3309.6183,3323.9961,3304.1034,3310.3814,3317.6174,-7.9991,-0.2411,148053288,1.85E+11,
2017/12/1,3317.6174,3324.5161,3302.4398,3315.1051,3317.1884,0.429,0.0129,139198300,1.77E+11,
2017/11/30,3317.1884,3340.9201,3306.2832,3328.6427,3337.862,-20.6736,-0.6194,156595851,1.92E+11,
2017/11/29,3337.862,3343.0624,3305.5721,3335.5671,3333.657,4.205,0.1261,183805932,2.18E+11,
2017/11/28,3333.657,3333.7998,3300.7808,3311.2322,3322.2298,11.4272,0.344,138247799,1.67E+11,
2017/11/27,3322.2298,3347.0506,3315.2642,3346.6567,3353.8207,-31.5909,-0.9419,166439170,2.06E+11,
2017/11/24,3353.8207,3360.7459,3328.3339,3340.3842,3351.9182,1.9025,0.0568,159569663,2.08E+11,
2017/11/23,3351.9182,3429.4237,3342.3324,3425.0093,3430.4643,-78.5461,-2.2897,215265393,2.70E+11,
2017/11/22,3430.4643,3442.1777,3404.2865,3417.3313,3410.4977,19.9666,0.5854,213567093,2.74E+11,
2017/11/21,3410.4977,3419.802,3377.5989,3382.3595,3392.3988,18.0989,0.5335,196871803,2.65E+11,
2017/11/20,3392.3988,3393.1063,3337.116,3361.3563,3382.9075,9.4913,0.2806,176524683,2.28E+11,
2017/11/17,3382.9075,3403.2855,3373.2956,3392.6834,3399.2503,-16.3428,-0.4808,249458153,3.14E+11,
2017/11/16,3399.2503,3409.6532,3390.5888,3393.1937,3402.5245,-3.2742,-0.0962,156684332,2.21E+11,
2017/11/15,3402.5245,3423.7495,3396.381,3416.2112,3429.5482,-27.0237,-0.788,168792076,2.40E+11,
2017/11/14,3429.5482,3450.4949,3419.6919,3446.5453,3447.8358,-18.2876,-0.5304,196472674,2.67E+11,
2017/11/13,3447.8358,3449.1638,3435.0849,3435.1839,3432.6731,15.1627,0.4417,205389054,2.67E+11,
2017/11/10,3432.6731,3438.7924,3414.3286,3423.1846,3427.7946,4.8785,0.1423,189276503,2.56E+11,
2017/11/9,3427.7946,3428.7704,3408.6186,3410.6723,3415.4602,12.3344,0.3611,158650426,2.05E+11,
2017/11/8,3415.4602,3434.4918,3404.8811,3409.1474,3413.5748,1.8854,0.0552,185436470,2.42E+11,
2017/11/7,3413.5748,3415.1482,3387.9459,3389.4721,3388.1742,25.4006,0.7497,190571746,2.43E+11,
2017/11/6,3388.1742,3389.3826,3356.5337,3369.685,3371.7441,16.4301,0.4873,154636468,2.04E+11,
2017/11/3,3371.7441,3380.57,3347.3603,3377.7356,3383.3095,-11.5654,-0.3418,172714790,2.07E+11,
2017/11/2,3383.3095,3391.652,3372.2131,3391.652,3395.9125,-12.603,-0.3711,166864267,2.10E+11,
2017/11/1,3395.9125,3410.3519,3388.5978,3393.9678,3393.3417,2.5708,0.0758,180566127,2.32E+11,
2017/10/31,3393.3417,3397.0988,3376.1238,3380.999,3390.3371,3.0046,0.0886,153498206,2.00E+11,
2017/10/30,3390.3371,3419.7315,3357.2762,3413.8679,3416.8124,-26.4753,-0.7749,208349286,2.58E+11,
2017/10/27,3416.8124,3421.1026,3402.1141,3404.4978,3407.5671,9.2453,0.2713,170257173,2.12E+11,
2017/10/26,3407.5671,3414.2415,3391.4549,3397.519,3396.8975,10.6696,0.3141,183768625,2.39E+11,
2017/10/25,3396.8975,3398.3041,3382.0338,3384.8579,3388.2477,8.6498,0.2553,123131222,1.60E+11,
2017/10/24,3388.2477,3388.6886,3374.1246,3376.5989,3380.699,7.5487,0.2233,139897511,1.79E+11,
